NUMBER_OF_PICKUPS,NUMBER_OF_DROPS,PICKUP_DATE,ORDER_BOOK_DATE,SHIPMENT_AMOUNT,MILEAGE,HAZMAT,SERVICE_LEVEL,WEIGHT,LINEAR_FEET,EQUIP_TYPE,ORIGIN_LOCATION,DESTINATION_LOCATION
1,1,2023-01-13T00:00:00Z,2022-12-30T00:00:00Z,11655.9,3132,1,1,32625,48,R,TX_HOU,FL_LAK
1,1,2023-01-28T00:00:00Z,2023-01-28T00:00:00Z,10646.7,3033,1,3,24581,48,R,FL_MIA,FL_MIA
1,1,2023-01-29T00:00:00Z,2023-01-25T00:00:00Z,10093.91,3033,1,3,40000,48,R,FL_MIA,FL_MIA
1,1,2023-01-28T00:00:00Z,2023-01-24T00:00:00Z,9904.43,2688,1,1,42000,48,R,CA_LAX,NC_CHA
1,1,2023-01-25T00:00:00Z,2023-01-25T00:00:00Z,9570.57,3033,1,3,37424,48,R,FL_MIA,FL_MIA
1,1,2023-01-24T00:00:00Z,2023-01-24T00:00:00Z,9555.58,3033,1,3,19641,48,R,FL_MIA,FL_MIA
1,1,2023-01-27T00:00:00Z,2023-01-27T00:00:00Z,9467.05,3033,1,3,32938,48,R,FL_MIA,FL_MIA
1,1,2023-01-25T00:00:00Z,2023-01-20T00:00:00Z,8942.87,2453,1,3,40000,48,R,FL_MIA,GA_SAV
1,1,2023-01-07T00:00:00Z,2023-01-05T00:00:00Z,8846.48,2678,0,3,43680,48,R,AL_MOB,GA_SAV
1,1,2023-01-10T00:00:00Z,2023-01-05T00:00:00Z,8668.06,2529,1,3,40000,48,R,FL_MIA,FL_LAK
1,1,2023-01-24T00:00:00Z,2023-01-20T00:00:00Z,8526.42,2562,0,3,38150,48,R,CA_LAX,FL_LAK
1,1,2023-01-17T00:00:00Z,2023-01-12T00:00:00Z,8557.12,2484,0,3,40000,48,R,FL_MIA,CA_LAX
1,1,2023-01-04T00:00:00Z,2023-01-03T00:00:00Z,8453.92,2737,0,3,33000,48,R,AL_MOB,FL_LAK
1,1,2023-01-18T00:00:00Z,2023-01-14T00:00:00Z,8435.92,2578,0,3,42912,48,R,AL_MOB,GA_SAV
1,1,2023-01-04T00:00:00Z,2023-01-03T00:00:00Z,8472.85,2578,0,3,40516,48,R,AL_MOB,GA_SAV
1,1,2023-01-14T00:00:00Z,2023-01-09T00:00:00Z,8389.95,2724,0,3,43569,48,R,AL_MOB,FL_LAK
1,1,2023-01-05T00:00:00Z,2023-01-04T00:00:00Z,8347.05,2737,0,3,33000,48,R,AL_MOB,FL_LAK
1,1,2023-01-14T00:00:00Z,2023-01-14T00:00:00Z,8409.66,2449,0,3,26327,48,R,FL_MIA,FL_LAK
1,1,2023-01-19T00:00:00Z,2023-01-13T00:00:00Z,8197.5,2513,0,3,40000,48,R,FL_MIA,TX_HOU
1,1,2023-01-03T00:00:00Z,2022-12-29T00:00:00Z,8231.77,2513,0,3,40000,48,R,FL_MIA,TX_HOU
1,1,2023-01-24T00:00:00Z,2023-01-19T00:00:00Z,8047.74,2513,0,3,40000,48,R,FL_MIA,TX_HOU
1,1,2023-01-22T00:00:00Z,2023-01-22T00:00:00Z,8029.96,2529,0,3,27088,48,R,FL_MIA,FL_LAK
1,1,2023-01-24T00:00:00Z,2023-01-24T00:00:00Z,8044.92,2529,0,3,33226,48,R,FL_MIA,FL_LAK
1,1,2023-01-03T00:00:00Z,2023-01-03T00:00:00Z,8019.08,2529,0,3,37993,48,R,FL_MIA,FL_LAK
1,1,2023-01-18T00:00:00Z,2023-01-13T00:00:00Z,7987.06,2513,0,3,40000,48,R,FL_MIA,TX_HOU
1,1,2023-01-19T00:00:00Z,2023-01-13T00:00:00Z,8057.06,2513,0,3,40000,48,R,FL_MIA,TX_HOU
1,1,2023-01-28T00:00:00Z,2023-01-28T00:00:00Z,8040.11,2529,0,3,36817,48,R,FL_MIA,FL_LAK
1,1,2023-01-11T00:00:00Z,2023-01-11T00:00:00Z,8024.94,2415,0,3,27163,48,R,FL_MIA,NC_CHA
1,1,2023-01-26T00:00:00Z,2023-01-20T00:00:00Z,7959.33,2484,0,3,35455,48,R,FL_MIA,CA_LAX
1,1,2023-01-13T00:00:00Z,2023-01-13T00:00:00Z,7926.33,2484,0,3,24838,48,R,FL_MIA,CA_LAX
1,1,2023-01-04T00:00:00Z,2023-01-04T00:00:00Z,7855.5,2484,0,3,31974,48,R,FL_MIA,CA_LAX
1,1,2023-01-11T00:00:00Z,2023-01-06T00:00:00Z,7663.54,2122,0,3,40000,48,R,FL_MIA,GA_SAV
1,1,2023-01-01T00:00:00Z,2022-12-28T00:00:00Z,7734,2122,0,3,40000,48,R,FL_MIA,GA_SAV
1,1,2023-01-09T00:00:00Z,2023-01-04T00:00:00Z,7646.46,2122,0,3,40000,48,R,FL_MIA,GA_SAV
1,1,2023-01-19T00:00:00Z,2023-01-19T00:00:00Z,7531.7,2353,0,3,32066,48,R,FL_MIA,CA_LAX
1,1,2023-01-17T00:00:00Z,2023-01-16T00:00:00Z,7558.96,2353,0,3,27556,48,R,FL_MIA,CA_LAX
1,1,2023-01-15T00:00:00Z,2023-01-15T00:00:00Z,7509.42,2513,0,3,37230,48,R,FL_MIA,TX_HOU
1,1,2023-01-14T00:00:00Z,2023-01-14T00:00:00Z,7530.42,2513,0,3,27588,48,R,FL_MIA,TX_HOU
1,1,2023-01-31T00:00:00Z,2023-01-31T00:00:00Z,7472.53,2353,0,3,28620,48,R,FL_MIA,CA_LAX
1,1,2023-01-21T00:00:00Z,2023-01-21T00:00:00Z,7463.63,2415,0,3,19253,48,R,FL_MIA,NC_CHA
1,1,2023-01-12T00:00:00Z,2023-01-12T00:00:00Z,7526.82,2513,0,3,31240,48,R,FL_MIA,TX_HOU
1,1,2023-01-16T00:00:00Z,2023-01-16T00:00:00Z,7436.46,2122,0,3,40000,48,R,FL_MIA,GA_SAV
1,1,2023-01-11T00:00:00Z,2023-01-11T00:00:00Z,7465.18,2353,0,3,27100,48,R,FL_MIA,CA_LAX
1,1,2023-01-22T00:00:00Z,2023-01-19T00:00:00Z,7396.64,2530,0,3,40000,48,R,FL_MIA,AL_MOB
1,1,2023-01-22T00:00:00Z,2023-01-22T00:00:00Z,7369.94,3033,0,3,27873,48,R,FL_MIA,FL_MIA
1,1,2023-01-05T00:00:00Z,2023-01-05T00:00:00Z,7450.67,2353,0,3,32739,48,R,FL_MIA,CA_LAX
1,1,2023-01-18T00:00:00Z,2023-01-18T00:00:00Z,7352.05,2530,0,3,35205,48,R,FL_MIA,AL_MOB
1,1,2023-01-22T00:00:00Z,2023-01-22T00:00:00Z,7364.9,2163,0,3,28923,48,R,FL_MIA,MO_KAN
1,1,2023-01-28T00:00:00Z,2023-01-28T00:00:00Z,7337.46,2513,0,3,36169,48,R,FL_MIA,TX_HOU
1,1,2023-01-04T00:00:00Z,2023-01-04T00:00:00Z,7396.69,2513,0,3,24534,48,R,FL_MIA,TX_HOU
1,1,2023-01-20T00:00:00Z,2023-01-20T00:00:00Z,7361.25,3033,0,3,32166,48,R,FL_MIA,FL_MIA
1,1,2023-01-27T00:00:00Z,2023-01-27T00:00:00Z,7318.85,3033,0,3,21971,48,R,FL_MIA,FL_MIA
1,1,2023-01-19T00:00:00Z,2023-01-19T00:00:00Z,7398.47,3033,0,3,21620,48,R,FL_MIA,FL_MIA
1,1,2023-01-20T00:00:00Z,2023-01-20T00:00:00Z,7384.36,2163,0,3,29701,48,R,FL_MIA,MO_KAN
1,1,2023-01-13T00:00:00Z,2023-01-13T00:00:00Z,7311.31,2513,0,3,38766,48,R,FL_MIA,TX_HOU
1,1,2023-01-04T00:00:00Z,2023-01-04T00:00:00Z,7325.92,2122,0,3,31799,48,R,FL_MIA,GA_SAV
1,1,2023-01-26T00:00:00Z,2023-01-20T00:00:00Z,7308.69,2606,0,1,37800,48,R,AL_MOB,CA_LAX
1,1,2023-01-07T00:00:00Z,2023-01-09T00:00:00Z,7307.59,2530,0,3,40000,48,R,FL_MIA,AL_MOB
1,1,2023-01-07T00:00:00Z,2023-01-07T00:00:00Z,7215.59,2530,0,3,34528,48,R,FL_MIA,AL_MOB
1,1,2023-01-06T00:00:00Z,2023-01-05T00:00:00Z,7280.33,2513,0,3,40000,48,R,FL_MIA,TX_HOU
1,1,2023-01-06T00:00:00Z,2023-01-07T00:00:00Z,7218.18,3033,0,3,22879,48,R,FL_MIA,FL_MIA
1,1,2023-01-05T00:00:00Z,2023-01-04T00:00:00Z,7196.54,2606,0,1,37800,48,R,AL_MOB,CA_LAX
1,1,2023-01-26T00:00:00Z,2023-01-26T00:00:00Z,7176.51,2122,0,3,24546,48,R,FL_MIA,GA_SAV
1,1,2023-01-10T00:00:00Z,2023-01-10T00:00:00Z,7016.8,2111,0,3,39385,48,R,FL_MIA,GA_SAV
1,1,2023-01-17T00:00:00Z,2023-01-17T00:00:00Z,7025.65,2453,0,3,24703,48,R,FL_MIA,GA_SAV
1,1,2023-01-07T00:00:00Z,2023-01-03T00:00:00Z,7031.42,2122,0,3,32045,48,R,FL_MIA,GA_SAV
1,1,2023-01-06T00:00:00Z,2023-01-06T00:00:00Z,6983.96,2122,0,3,32339,48,R,FL_MIA,GA_SAV
1,1,2023-01-07T00:00:00Z,2023-01-05T00:00:00Z,7046.7,2294,0,3,32800,48,R,AL_MOB,FL_MIA
1,1,2023-01-07T00:00:00Z,2023-01-05T00:00:00Z,6976.7,2294,0,3,32300,48,R,AL_MOB,FL_MIA
1,1,2023-01-15T00:00:00Z,2023-01-15T00:00:00Z,7047.13,2453,0,3,23875,48,R,FL_MIA,GA_SAV
1,1,2023-01-13T00:00:00Z,2023-01-13T00:00:00Z,7038.57,2453,0,3,35270,48,R,FL_MIA,GA_SAV
1,1,2023-01-31T00:00:00Z,2023-01-18T00:00:00Z,6971.65,2707,0,1,18711,52,V,FL_MIA,MO_KAN
1,1,2023-01-22T00:00:00Z,,6923.69,2449,0,3,40000,48,R,FL_MIA,FL_LAK
1,1,2023-01-11T00:00:00Z,,6920.56,2449,0,3,40000,48,R,FL_MIA,FL_LAK
1,1,2023-01-03T00:00:00Z,2023-01-02T00:00:00Z,6941.3,2780,0,3,34580,48,R,AL_MOB,FL_LAK
1,1,2023-01-07T00:00:00Z,2023-01-03T00:00:00Z,6941.55,2453,0,3,29223,48,R,FL_MIA,GA_SAV
